iter	Passed	Remaining
627	1705	1010
628	1708	1007
629	1711	1005
630	1713	1002
631	1716	999
632	1720	997
633	1721	994
634	1724	991
635	1727	988
636	1729	985
637	1732	982
638	1735	980
639	1738	977
640	1741	975
641	1743	972
642	1746	969
643	1749	967
644	1751	964
645	1754	961
646	1757	958
647	1759	956
648	1761	952
649	1764	950
650	1767	947
651	1769	944
652	1772	941
653	1774	938
654	1776	935
655	1778	932
656	1780	929
657	1783	926
658	1784	923
659	1787	920
660	1790	918
661	1792	915
662	1795	912
663	1797	909
664	1800	906
665	1802	904
666	1805	901
667	1808	898
668	1811	896
669	1813	893
670	1816	890
671	1819	888
672	1822	885
673	1824	882
674	1827	879
675	1829	876
676	1831	874
677	1834	871
678	1837	868
679	1839	865
680	1841	862
681	1842	859
682	1845	856
683	1848	853
684	1851	851
685	1854	848
686	1856	846
687	1858	843
688	1861	840
689	1864	837
690	1866	834
691	1869	832
692	1872	829
693	1873	826
694	1875	823
695	1878	820
696	1882	818
697	1884	815
698	1887	812
699	1889	809
700	1892	807
701	1895	804
702	1898	802
703	1900	799
704	1902	796
705	1905	793
706	1907	790
707	1909	787
708	1912	785
709	1915	782
710	1918	779
711	1921	777
712	1922	774
713	1925	771
714	1928	768
715	1929	765
716	1932	762
717	1934	759
718	1937	757
719	1939	754
720	1942	751
721	1944	748
722	1946	745
723	1948	742
724	1950	739
725	1953	737
726	1955	734
727	1957	731
728	1960	728
729	1963	726
730	1966	723
731	1968	720
732	1970	717
733	1972	714
734	1975	712
735	1978	709
736	1981	707
737	1983	704
738	1986	701
739	1988	698
740	1990	695
741	1992	692
742	1994	689
743	1997	687
744	1999	684
745	2002	681
746	2004	679
747	2007	676
748	2010	673
749	2013	671
750	2016	668
751	2018	665
752	2021	663
753	2024	660
754	2027	657
755	2029	655
756	2032	652
757	2035	649
758	2037	646
759	2040	644
760	2042	641
761	2044	638
762	2047	635
763	2049	633
764	2052	630
765	2055	627
766	2057	625
767	2060	622
768	2062	619
769	2064	616
770	2067	614
771	2070	611
772	2072	608
773	2075	605
774	2076	602
775	2078	599
776	2081	597
777	2083	594
778	2085	591
779	2088	588
780	2090	586
781	2093	583
782	2095	580
783	2097	577
784	2101	575
785	2104	572
786	2106	570
787	2109	567
788	2111	564
789	2113	561
790	2116	559
791	2118	556
792	2121	553
793	2123	551
794	2125	548
795	2127	545
796	2130	542
797	2133	540
798	2136	537
799	2139	534
800	2140	531
801	2143	529
802	2146	526
803	2149	524
804	2151	521
805	2154	518
806	2157	515
807	2160	513
808	2163	510
809	2165	507
810	2167	505
811	2170	502
812	2172	499
813	2175	497
814	2178	494
815	2181	491
816	2184	489
817	2186	486
818	2189	483
819	2192	481
820	2195	478
821	2197	475
822	2200	473
823	2202	470
824	2205	467
825	2208	465
826	2211	462
827	2213	459
828	2216	457
829	2218	454
830	2221	451
831	2224	449
832	2227	446
833	2228	443
834	2230	440
835	2233	438
836	2236	435
837	2238	432
838	2241	430
839	2244	427
840	2246	424
841	2249	422
842	2252	419
843	2254	416
844	2257	414
845	2259	411
846	2260	408
847	2263	405
848	2266	403
849	2268	400
850	2271	397
851	2274	395
852	2276	392
853	2279	389
854	2281	386
855	2284	384
856	2286	381
857	2289	378
858	2291	376
859	2294	373
860	2297	370
861	2300	368
862	2302	365
863	2304	362
864	2307	360
865	2309	357
866	2311	354
867	2314	351
868	2316	349
869	2319	346
870	2321	343
871	2323	341
872	2326	338
873	2328	335
874	2330	332
875	2333	330
876	2335	327
877	2338	324
878	2339	322
879	2342	319
880	2345	316
881	2348	314
882	2350	311
883	2352	308
884	2354	305
885	2356	303
886	2358	300
887	2361	297
888	2363	295
889	2365	292
890	2368	289
891	2370	287
892	2373	284
893	2376	281
894	2378	279
895	2381	276
896	2384	273
897	2387	271
898	2390	268
899	2392	265
900	2395	263
901	2398	260
902	2401	257
903	2404	255
904	2406	252
905	2409	249
906	2412	247
907	2415	244
908	2417	242
909	2419	239
910	2422	236
911	2424	233
912	2427	231
913	2429	228
914	2431	225
915	2433	223
916	2436	220
917	2439	217
918	2442	215
919	2445	212
920	2448	209
921	2450	207
922	2453	204
923	2456	202
924	2459	199
925	2462	196
926	2465	194
927	2467	191
928	2469	188
929	2473	186
930	2475	183
931	2477	180
932	2480	178
933	2482	175
934	2484	172
935	2486	170
936	2490	167
937	2491	164
938	2494	162
939	2497	159
940	2500	156
941	2502	154
942	2505	151
943	2508	148
944	2511	146
945	2514	143
946	2516	140
947	2519	138
948	2521	135
949	2524	132
950	2525	130
951	2527	127
952	2530	124
953	2532	122
954	2535	119
955	2538	116
956	2541	114
957	2543	111
958	2544	108
959	2547	106
960	2549	103
